transfer_type,source,destination,samples_transferred
0,1,44,101
0,1,45,415
0,2,14,1371
0,2,42,383
0,3,9,1728
0,5,1,3377
0,5,60,177
0,5,68,550
0,5,16,650
0,5,15,2247
0,5,74,65
0,5,8,2563
0,5,3,394
0,5,2,1599
0,5,77,1399
0,5,75,94
0,5,47,696
0,5,73,73
0,5,72,148
0,5,70,657
0,5,50,118
0,5,49,23
0,5,82,1041
0,5,40,329
0,5,32,207
0,5,35,777
0,5,83,2076
0,5,31,1299
0,5,29,1061
0,5,27,307
0,5,26,464
0,5,25,1335
0,5,24,1140
0,5,23,1370
0,5,22,250
0,5,21,1206
0,5,12,1505
0,5,39,362
0,5,85,1701
0,6,65,586
0,7,18,564
0,7,61,141
0,8,51,105
0,8,52,492
0,9,54,27
0,10,59,133
0,11,10,958
0,11,28,642
0,11,34,509
0,11,36,227
0,11,37,64
0,12,78,906
0,12,30,299
0,12,38,148
0,13,11,900
0,13,13,849
0,14,20,510
0,15,5,2268
0,16,80,873
0,17,7,1511
0,18,69,568
0,19,66,86
0,19,67,972
0,20,53,920
0,21,17,930
0,21,84,931
0,22,4,1138
0,23,64,848
0,24,62,97
0,24,63,658
0,25,6,890
0,25,19,879
0,26,41,438
0,27,57,28
0,27,58,590
0,27,33,1084
0,28,46,986
0,29,43,60
0,30,55,84
0,30,56,776
0,5,65,2026
1,5,5,1179
0,22,33,1467
1,22,22,1461
0,4,13,1053
0,4,76,34
1,4,4,1126
0,26,38,843
1,26,26,684
0,9,37,794
0,9,86,310
1,9,9,358
0,10,79,701
0,10,67,109
1,10,10,214
0,29,71,695
0,29,7,290
1,29,29,12
0,25,42,198
0,25,48,137
0,25,81,11
1,25,25,552
0,1,9,153
1,1,1,590
0,8,53,100
1,8,8,474
0,28,63,48
1,28,28,304
0,14,56,11
1,14,14,271
1,15,15,127
1,7,7,110
1,18,18,69
1,16,16,23
1,21,21,12
