transfer_type,source,destination,samples_transferred
0,1,44,33
0,1,45,521
0,2,14,1611
0,2,42,359
0,3,9,899
0,5,1,2908
0,5,60,91
0,5,68,287
0,5,16,1397
0,5,15,3091
0,5,74,100
0,5,8,3144
0,5,3,887
0,5,2,1592
0,5,77,1329
0,5,75,124
0,5,47,948
0,5,73,84
0,5,72,140
0,5,70,277
0,5,50,86
0,5,49,82
0,5,82,807
0,5,40,139
0,5,32,300
0,5,35,801
0,5,83,2427
0,5,31,2034
0,5,29,1695
0,5,27,171
0,5,26,668
0,5,25,969
0,5,24,1341
0,5,23,2050
0,5,22,385
0,5,21,2243
0,5,12,2461
0,5,39,416
0,5,85,216
0,6,65,626
0,7,18,595
0,7,61,139
0,8,51,95
0,8,52,766
0,9,54,31
0,10,59,156
0,11,10,592
0,11,28,630
0,11,34,591
0,11,36,357
0,11,37,284
0,12,78,1022
0,12,30,330
0,13,11,820
0,13,13,1147
0,14,20,324
0,15,5,1374
0,16,80,942
0,17,7,1422
0,18,69,601
0,19,66,95
0,19,67,938
0,20,53,939
0,21,17,604
0,21,84,599
0,22,4,1289
0,23,64,780
0,24,62,159
0,24,63,624
0,25,6,953
0,25,19,475
0,26,41,385
0,27,57,90
0,27,58,789
0,27,33,706
0,28,46,647
0,29,43,75
0,30,55,107
0,30,56,552
0,22,33,2296
1,22,22,385
0,4,65,2109
1,4,4,261
0,26,7,1117
0,26,71,472
0,9,13,909
0,9,76,112
1,9,9,247
0,15,85,872
1,15,15,247
0,25,38,773
0,25,30,231
1,25,25,19
0,29,86,648
0,29,37,290
0,10,42,507
0,10,48,154
0,10,81,149
1,10,10,113
0,21,79,470
0,21,67,310
0,28,63,328
1,28,28,421
0,1,71,240
1,1,1,484
0,3,37,86
1,3,3,593
0,14,64,70
1,14,14,475
0,8,67,12
1,8,8,377
0,30,69,8
1,30,30,145
1,20,20,84
1,7,7,61
1,16,16,7
